2014-11-01 21:42:00,Испания по выходным ⇒ Vilanova i la Geltrú,"<a href=""http://meme-me.ru/photos/vilanova-i-la-geltr%C3%BA/"">Vilanova i la Geltrú</a> оказался симпатичным небольшим городком, с гигантским пляжем и променадом километров на пять.

Среди фотографий есть симпатичные :)"
2014-11-02 07:56:00,Продолжая тему пончиков,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/39283/39283_original.jpg""   alt=""Надель Эдкинс — Концерты в культурной столице"">"
2014-11-03 09:22:00,Máquina de Chorizo,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/39513/39513_original.jpg"" alt=""Máquina de Chorizo"">

Изящное решение продовольственной проблемы выходного дня: автомат, торгующий сосисками."
2014-11-04 09:08:00,Все средства хороши,"<blockquote><img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/39680/39680_original.png"" alt=""Маша Гессен: «Газета.ру закрыта злобным путинским режимом»""><br>
Для войны с Украиной было сделано очень много, в том числе и мобилизация прессы, и блокировка доступа к интернет-изданиям, <b>самое крупное из закрытых государством — Газета.ру</b><br><small>— Из <a href=""http://rusjev.net/2014/06/26/pravlenie-putina-nahoditsya-v-svoey-posledney-stadii-smertelnoy-dlya-rossii/"">интервью Маши Гессен</a></small></blockquote>Скажу одно: такого омерзения у меня не вызывают даже путинские холуи."
2014-11-04 19:17:00,Целебный источник,"Понадобились мне тексты на разных языках, желательно — литературные (прошедшие корректора). Спрашиваю у коллег, где бы датский надыбать. Скот (ум.–ласк. от scottish), не отрываясь от клавиатуры, равнодушным голосом советует:
— Try to google for unpublished Hamlet’s monologues."
2014-11-04 20:18:00,Роды и падёж,"<center><div style=""font-variant:small-caps;font-size:32px;border:3px double #ddd;padding:0.4em;align:center;width:16em;"">Три личности, скрывающиеся в одном героине…</div></center>"
2014-11-05 10:27:00,Путаница в показаниях,"<blockquote>ЗЕФС склоняется к акту публичного уничтожения этого символа нашей слепой и ложной веры в легенду о гениальности Стива Джобса, на пустом месте создавшего крупную мировую IT-компанию.<br><small>— http://deepapple.com/news/46946.html</small></blockquote>А я всегда считал, что создать на пустом месте крупную мировую IT-компанию — это неплохо. При том, что все мои знакомые в курсе, насколько пренебрежительно я отношусь к айфону (и к Джоббсу)."
2014-11-05 10:29:00,Хоть на аватар бери…,"<blockquote><img src=""http://imgs.xkcd.com/comics/language_nerd.png"" title=""Not to go all sentence fragment on you."" alt=""Language Nerd"" /><br><small>— http://xkcd.com/1443/</small></blockquote>"
2014-11-05 20:01:00,Хабрахабр всё,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/40149/40149_original.png"" alt=""Я на вконтектег не хожу, извините :: -10"">

А ведь неплохой профессиональный ресурс был."
2014-11-09 19:40:00,Gato Gordo,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/40387/40387_600.jpg"" alt=""Gato Gordo del Raval"">
<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/40626/40626_600.jpg"" alt=""Gato Gordo del Raval"">"
2014-11-09 19:46:00,Show Girls :: Lap Dance,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/40723/40723_600.jpg"" alt=""Багдад"">

Причудливо ивритизированный Багдад как бы намекает. Афиши гласят на полную громкость: Porno Show."
2014-11-11 13:21:00,Конкурс современной моды,"<center><div style=""font-variant:small-caps;font-size:32px;border:3px double #ddd;padding:0.4em;align:center;width:16em;"">Кривая верстка</div></center>"
2014-11-12 09:19:00,,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/41421/41421_600.png"">

Обожаю <a href=""http://skeptics.stackexchange.com/questions/23758/has-a-human-ever-been-eaten-by-an-anaconda"">skeptics@stackexchange</a>. Прямо так и вижу, как эти 23 человека, отметившие вопрос как «интересный», отбросили чипсы, ударили айфоном об стол и завопили: «Бля, как я жил раньше, не зная, едят ли анаконды людей?»."
2014-11-19 09:23:00,Диаспора,"<p>Дружище Глазунов написал очень интересную <a href=""http://sany-ok.ru/blog/about-armenian-mentality-and-way-of-life"">заметку</a> об «Армении глазами сибиряка». Тема шире гораздо, конечно, но не в этом суть. Очень тонко подмечено вот что:</p>

<blockquote> […] я не встречал здесь ни одного таксиста или другого человека, который, услышав откуда я приехал, не начал бы вспоминать, «кто у него там есть». Диалог на это время замирает, потому что самое важное для него&nbsp;— вспомнить, «есть ли там свои». Обычно они «там» вспоминаются и после фразы «ага, у меня там дядя» разговор переключается с паузы на плэй.</blockquote>

<p>Любой, кто знает про армян чуть больше, чем «выучить армянский очень просто: памидор&nbsp;— мамидор, алыча&nbsp;— малыча…», на этом месте улыбается. Наш офис-менеджер, Корюн, как только услышал, что я собираюсь в Андорру, предложил мне адрес его земляка, у которого я могу остановиться. Удивительно, что я ожидал чего-то подобного.</p>

<p>А недавно я шел по вечернему городу. Гулял. Вытащил из кармана пачку сигарет и стал растерянно хлопать себя по карманам в поисках зажигалки. Ко мне шагнул человек, как две капли воды похожий на Фрунзика Мкртчяна. В&nbsp;— я сам не поверил&nbsp;— аэродроме на голове. И в куртке, раскрашенной в три полосы: красную, синюю и желто-оранжевую. Протянул огонь. Я прикурил и от всей души поблагодарил его по-русски.<br>&nbsp;— Э, откуда знаешь, что я русский?&nbsp;— со сдержанным одобрением в голосе (эта интонация вообще, кажется, доступна только кавказцам) спросил меня этот чувак.</p>"
2014-11-19 13:09:00,Открытое письмо Фонвизину,"Я живу вне пределов России третий раз в жизни (египетские пляжи не в счет). Я вообще не чувствую привязанности к местам, поэтому переезды в новую культуру даются мне легко. Никакой адаптации к местным монастырям: я и в родные-то промеж березок без своих караваев ходил. Мозг очень легко переключает контексты (вероятно, моя нейронная сеть написана на эрланге). Я не вижу разницы между «Пятерочкой», «Aldi» и «Dia». Я не ходил гулять в Летний сад, а теперь не хожу в Гуэль. Ну а то, что вместо Бульварного кольца вокруг пешеходной зоны — море и Готический квартал… Ну так вчера я ел на ужин свиную отбивную, а сегодня — цыпленка табака. Это называется «разнообразие».

Единственное, чему я не устаю поражаться — скорость взросления окружающих. Только что по эмали получил письмо. Внутренняя рассылка. У нашего системного администратора день рождения, на кухне кексы. Все, как обычно. Но, ёшкин корень, чуваку, оказывается, исполнилось тридцать лет. Цифрами: 30. Римскими цифрами: XXX. Ебануться. Я был уверен, что через пару лет ему только-только начнут продавать алкоголь. 

Это (на взгляд человека, которому восемнадцать стукнуло спустя полтора месяца после ГКЧП) — тенденция. Немцы учатся в университетах до тридцати пяти. Женщины до сорока вызывают желание купить мороженое, а не цветы (и это не потому, что я старею, в Германии было так же). Они какие-то (не все конечно) инфантильные. Не в смысле терри́бле, хотя это, конечно, тоже. Как хорошие еврейские мальчики, далеко от мамы не отходят. Даже если успели познакомиться с Крэгом из Венесуэлы и Жанетт с Рамблы.

Вот что демократия с людьми делает, в общем."
2014-11-20 06:58:00,О пропаганде,"Наткнулся случайно на очень красноречивую ссылку. <a href=""http://www.newtimes.ru/articles/detail/64032/"">Интервью</a> с Дорой Насс (Петтин), заставшей становление Гитлера. Я всегда стараюсь читать воспоминания очевидцев — это единственный способ ухватить хоть малую толику правды и минувшем. Историкам я не верю; не потому, что подозреваю их в вероломстве, а потому, что не верю <i>архивным</i> фактическим материалам. Если судить по моим архивам, у меня есть единственный недостаток: я идеален. Поскольку я знаю, что это не совсем так, я проецирую свое отношение к тому, что должно попасть в архив на неглупых людей, имеющих доступ к подшиванию материалов в дела́.

Ладно, я не об этом хотел сказать. Среди прочего, Дора говорит:

<blockquote>Сейчас в России, я читала, поднимается национализм, да? Это так странно… И я читала, что у вас все меньше и меньше свободы, что на телевидении — пропаганда… […]

И сейчас, когда я читаю о России, создается впечатление, что государство очень плохое, а люди очень хорошие…</blockquote>

Вообще-то тут не требуются комментарии, но, учитывая, сколько моих знакомых, которых я подозревал в наличии способности логически мыслить, мгновенно превращаются в зару-нэцкэ при упоминании слова «санкция», я поясню. Вы много слышали по радио и телевидению о том, что в Германии или Штатах все меньше свободы? Что на телевидении у них — сплошь пропаганда? А?

Так вот. <b>Пропаганда — это настойчивое вдалбливание из телевизора в головы тезиса о том, что у соседа пропаганда.</b> 

Из того же самого интервью можно составить вполне годное впечатление о том, что такое «правильная пропаганда». Постоянное подмечание того, как сосед пролил соус на скатерть — это не свобода прессы. Это бывает только по заказу. Ни одному в мире журналисту самому не придет в голову из всех новостей в течении почти уже года выбирать одну и ту же. 

Если вы прочитали интервью и сделали вывод, что аналогии с Россией уместны — мне хотелось бы никогда не оказаться с вами с замкнутом пространстве надолго. Я тяжело переношу человеческую тупость."
2014-11-21 09:36:00,Офисная история,Новый директор отрицал европейские ценности. Переаттестация была проведена выкладыванием на стол мобильных телефонов.
2014-11-23 09:08:00,Испания по выходным ⇒ Igualada,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/41630/41630_600.jpg"" alt=""Prohibit jugar a pilota"">

<i>Offtopic:</i> эти две фотографии сделаны в разных городах. Оба знака запрещают игру в мяч на площади. Может быть, в России тоже надо <i>запретить</i> игру в мяч — и мы через пару десятилетий, гляди, станем чемпионами мира по футболу.

<a href=""http://meme-me.ru/photos/igualada/"">Ихуалада</a> внезапно оказалась очень милым городом. Википедия <a href=""http://en.wikipedia.org/wiki/Igualada"">сулила</a> музей кожи и крутое кладбище, но в музей мы не пошли, а кладбище — не нашли."
2014-11-27 07:06:00,«Imitation game» вышел в прокат,"<lj-embed id=""45""/>

— http://theimitationgamemovie.com/"
