2016-12-14 08:02:00,Гавань в Деревне,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/91074/91074_original.jpg"" alt=""Панорамка гавани"">"
2016-12-15 10:37:00,Вручить лично ,"<blockquote cite='http://www.nbcnews.com/news/us-news/u-s-officials-putin-personally-involved-u-s-election-hack-n696146'>
<p>U.S. intelligence officials now believe with “a high level of confidence” that Russian President Vladimir Putin became personally involved in the covert Russian campaign to interfere in the U.S. presidential election, senior U.S. intelligence officials told NBC News. Two senior officials with direct access to the information say new intelligence shows that Putin personally directed how hacked material from Democrats was leaked and otherwise used. The intelligence came from diplomatic sources and spies working for U.S. allies, the officials said.</p>
<small>—  <img style='margin-bottom:-2px;height:16px;' src='http://nodeassets.nbcnews.com/31533d28.favicon.ico'> <a href='http://www.nbcnews.com/news/us-news/u-s-officials-putin-personally-involved-u-s-election-hack-n696146'>U.S. Officials: Putin Personally Involved in U.S. Election Hack - NBC News</a></small>
</blockquote>

<p>С нетерпением жду, когда они родят [с высокой степенью достоверности] пресс-релиз, о том, что Путин лично все взломал, используя айфон Медведева. Кристальные дебилы все-таки.</p>
<p>Для окончивших ВШЭ или еще какое гуманитарное учреждение: допустим, все так. Допустим, после изъема документов с домашних ноутов демократически настроенных граждан, Путин позвал специально обученного мальчика, и приказал ему слить данные в викиликс. Допустим. Для слива данных полк солдат не требуется: мальчик сам прекрасно справился. Узнать о том, что директива исходила лично от Путина можно двумя способами: от собственно гаранта (что вряд ли), и от мальчика (что тоже вряд ли, учитывая ценность кадра). Агония — всегда неприятное зрелище, но агония дегенератов, 8 лет руливших страной с ядерным оружием — вызывает противоречивые чувства.</p>"
2016-12-23 09:43:00,Эксперты меня окружают,"<blockquote cite=""http://lib.ru/DOWLATOW/kompromiss.txt"">
<p>[…] о проекте «Мобиле кооперато» и его гениальном творце, чернорабочем одной из таллиннских фабрик. […] Технический отдел затребует чертежи. Эксперт Чубаров минуту подержит в холеных руках две грязные трепещущие кальки и выскажется следующим образом:<br>
— Оригинально! Весьма оригинально!<br>
Журналистка с облегчением и гордостью воскликнет:<br>
— У него четыре класса образования!<br>
— А у вас? — брезгливо поинтересуется эксперт. — Вы знаете, что это такое?<br>
— Мобиле кооперато. Подвижный дом. Жилище будущего…<br>
— Это вагон, — прервет ее Чубаров, — обыкновенный вагон. А вашего Ле Корбюзье нужно срочно госпитализировать…</p>
<small>— Сергей Довлатов. «<a href=""http://lib.ru/DOWLATOW/kompromiss.txt"">Компромисс</a>».</small>
</blockquote>

<p>Так получилось, что я читаю много самой разнообразной околотехнической херни. Новости, блоги какие-то, от прямо науки до какого-то псевдомаркетинга. И вот, поймал себя на мысли. У людей, сука, есть собственное мнение по многим вопросам. И это нормально. Отвратительно другое: этим людям предоставили возможность это мнение <i>публиковать</i>. И не где-нибудь в огороженном красными флажками пространстве, нет. Прямо у меня под носом.</p>
<p>Люди, оказывается, любят этими своими взглядами на жизнь — делиться.</p>
<p>Там, где оказывается вовлечена какая-то минимальная техническая составляющая — этот парад мнений вызывает естественное стремление удавиться на ближайшей пальме.</p>

<p>Люди, не нужно стремиться высказаться про то, в чем вы ничего не понимаете. Поверьте мне, ничто не сделает из вас дебила быстрее и надежнее.</p>"
2016-12-24 06:38:00,Заметки старпера,"Когда я обдумываю проект, я занимаюсь всякой нерелевантной херней: читаю какой-то шлак в потустороннем интернете, смотрю второсортные сериалы, хожу декакилометры пешком, мою посуду, варю хаш. Вчера — перебрасывался беззлобными оскорблениями на хабре, в топиках, в которые на трезвую голову не зашел бы никогда.

Решение я так и не придумал (пока), зато подметил удивительную вещь. Подрастающее поколение — какие-то уебаны, простите.

И это не совсем старперское нытье (хотя на самом деле, оно, конечно же, но сейчас не о том). Поразительно, насколько это поколение в среднем можно описать словом «рациональные». Они в 20 лет думают, какую технологию для изучения выбрать, чтобы завтра получать в два раза больше денег, а послезавтра свалить в Штаты, или устроиться в Яндекс (что по современным реалиям — одного поля говно). В двадцать лет!

Да я в двадцать лет если о чем и думал, так — где взять денег на портвейн и куда поехать автостопом. Ну и кого бы трахнуть, разумеется. Я очень надеюсь, да что там «надеюсь» — фактически уверен, что у моих родителей были примерно такие же мысли. Из позитивного вспоминаются овладевание уверенной рифмовкой, гитарные экзерсисы, литкружки. При том, что я уже зарабатывал деньги программированием, но это все было как-то второстепенно, случайно, в свободное от пьянок и прочего духовного обогащения время. И уж подавно меня не заботил вопрос «какая технология будет самой перспективной через пять лет» и (цитата!) «соседи мне мешают спать по ночам громкой музыкой». Да я сам всем соседям мешал спать громкой музыкой.

Так вот. С оттенком жалости и сожаления я смотрю на этих людей. Возможно, из них вырастут уверенные профессионалы. Которые полетят с Маском на Марс, или построят электростанции, добывающие энергию из космоса. Возможно.

Но разговаривать с ними уже сейчас очень тяжело — как с механическими цыплятами на автоподзаводе. Прыг-прыг-прыг, строго вперед, к цели.

Ужасно. Это же не жизнь, а министерство достижения успеха. При этом они все еще очень любят обсуждать свободу. Которую они измеряют возможностью не ходить в офис, а работать те же 16 часов в сутки на фрилансе. Ужасно."
2016-12-25 11:59:00,🎄,"<p style=""font-size: xx-large; line-height: 1.2em;"">Зайчишка зайка серенький
  под ёлочкой сидел:
по зайцам лично Берия
  курировал отдел.</p>"
2016-12-25 12:06:00,Клопп о мотивации,"<blockquote cite=""http://www.irishmirror.ie/sport/soccer/transfer-news/liverpool-boss-jurgen-klopp-slams-9508750"">
<p>Klopp is bitterly disappointed Wolfsburg winger Draxler has taken a mega offer from Paris Saint-Germain, and says: “We believe that if someone needs to be convinced by money, then at one point—when you really need character—you will not get it.<br>
“Players should know they can earn really serious money here, reasonable money here, but we will not go nuts. We want to convince players about the special character of the club.<br>
“Nobody has to leave Liverpool because of money. Maybe there are a few clubs in world football who can play better and if you can go there, these few clubs, yeah then do it.<br>
“But for all the rest this should be the best place to be. I may have rose-tinted glasses but I would say at the moment that LFC is a really good place to be for a player to develop.<br>
“I can say we don’t want to convince players with money. We want to convince them with the way we go.</p>
<small>—  <img style=""margin-bottom:-2px;height:16px;"" src=""http://s.irishmirror.ie/marwood/TM/publications/irishmirror/img/favicon.ico""> <a href=""http://www.irishmirror.ie/sport/soccer/transfer-news/liverpool-boss-jurgen-klopp-slams-9508750"">Liverpool boss Jurgen Klopp slams money-motivated players after losing out in race to sign Julian Draxler — Irish Mirror Online</a></small>
</blockquote>
<p>Золотые слова для любой индустрии. Вставил вместо предисловия в послезавтрашнюю презентацию по итогам года.</p>"
2016-12-26 08:16:00,Новое слово в журналистике,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/91142/91142_original.jpg"" alt=""Требует подтверждения"">

Это скриншот твита новости.

<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/91644/91644_original.jpg"" alt=""Требует подтверждения"">

А это — само́й заметки. На обеих картинках я выделил загадочную фразу «Требует подтверждения». Не знаю уж, как я ее разглядел, но это же просто золотая жила для журналистов: сел себе вечером перед сдачей очередной колонки, стакан засосал, выплеснул на бумагу из головы две тысячи знаков любого горячечного бреда, отметил галочку «Требует подтверждения» — и спать.

Я слишком наивен, или раньше все-таки даже самые желтые издания себе такого не позволяли?"
2016-12-27 06:56:00,Витрина магазина,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/91830/91830_original.jpg"" alt=""Витрина магазина"">"
2016-12-27 07:09:00,Инсталляция,"А перед муниципалитетом выставили покачивающиеся надутые шары с инсталляциями внутри.

<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/91944/91944_original.jpg"" alt=""Шары перед муниципалитетом"">"
2016-12-27 08:44:00,"Россыпи из твиттера, 2015","<ul>
<li>Из ежа и старого плаща получается прекрасная праща.</li>
<li>Товарищи ораторы, кому еще неймется, на всех есть перфораторы и ледоруб найдется.</li>
<li>На атолле, средь коралла, жил да был один коала.</li>
<li>Ботокса залил богато, брови проредил... Я теперь не аллигатор, просто крокодил.</li>
<li>Объявленье в русской бане: здесь отпарят хер Обаме.</li>
<li>По дороге на работу я встречаю те же рожи. То ли это, сука, боты, то ли утром я бот тоже.</li>
<li>Что-то мне в Хамовниках не найти хамон никак.</li>
<li>Выйдешь вот бывало в сеть, почитаешь новости — и мгновенно тянет всех расстрелять по строгости.</li>
<li>Мне бы чарующие, томные глаза! — похмельного Творца просила стрекоза...</li>
<li>Царапаю гвоздем дождя по ржавому стеклу: сначала ложат в борщ моркву, потом уже свеклу́.</li>
<li>Среди миров в созвездии светил, так горько сознавать, что ты — дебил.</li>
<li>Дикобраз сказал ежу: со скинхедом не дружу.</li>
<li>Запишите: из слона центнер в день уйдет сполна.</li>
<li>Вопреки любым законам тяжело быть Лепреконом.</li>
<li>Шел я берегом реки, вдруг навстречу мудаки. Я брезгливость превозмог — и отдал им кошелек.</li>
<li>— Мальчик, как тебя зовут? — Так Алёша, вам — Джамшут.</li>
<li>Говорят, что в Сарагосе правял бал единороссы.</li>
<li>Нам выбор выдан непростой: «Ну, погоди!» и «Эй, постой!».</li>
<li>Постирал вчера постельное бельё: оно белое, прикиньте, ё-моё!</li>
<li>Между прочим, самки капибары весят больше центнера на пару.</li>
<li>Приступим. Кто окончил ГИТИС? — Мы все с Можайска, ебанитесь.</li>
<li>Наварю на ужин мидий, выпью... Буду, как Овидий.</li>
<li>Сегодня сыпал в рис в паэлью и понял, как творит Коэльо.</li>
<li>Люблю тебя, Петра творенье, я мог бы дочери сказать, когда б мне дали имя Петр, и у меня была бы дочь.</li>
<li>Не спеша бреду по пандусу… — Кто как панда? — Да ты панда сам!</li>
<li>Куплю сосисок, наварю, и буду счастлив к январю. (Новогоднее, запоздалое.)</li>
<li>Мадам, для жарки барбекю — вам недостаточно айкью.</li>
<li>Между прочим, в Барселоне — дикий шторм и ураган. Даже лужа на балконе есть назло моим врагам.</li>
<li>Новость: 42 енота не насытят бегемота.</li>
</ul>
<lj-cut>
<ul>
<li>Политкорректность тут без мазы. Француза брит зовет «чумазый».</li>
<li>Гитариста в переходе я спросил: мужик, доколе ты все пять своих мелодий будешь мучать в си-бемоле?</li>
<li>Вечер пятницы. В метро сильно тянет куантро.</li>
<li>Суслик рыскает в степи, как пакетик UDP.</li>
<li>Рассвет на час опередив, я ради ярких перспектив, употребил аперитив.</li>
<li>Радушней оболочка глаза; кариатиднее суккуб. В заснеженных горах Кавказа четыре третьих пи эр куб.</li>
<li>Анклав, автоклав, клавесин, балаклава — ваще не имеют на «клав» в корне права.</li>
<li>Коллоквиум в прайде отсеял тупых, болезненных, толстых и слишком крутых.</li>
<li>Толстой не стремался сходить босиком за 25 верст в яснопольный райком.</li>
<li>Я сразу смазал карту будня, в дрова нажравшись до полудня.</li>
<li>Порубал морковь в капусту, в щепы дерево разнёс... Не читайте, дети, Пруста, он взрывает детям мозг.</li>
<li>Слон в исступлении и раже страшнее, чем Стен Кубрик даже.</li>
<li>Жобсолизы поймали меня и в атаке унижали часами работы на маке.</li>
<li>Крошка сын к отцу пришел, и спросила кроха. И ответил: «Хорошо!» — папа без подвоха. Потому что трам-пам-пам папа ёбнул 200 грамм.</li>
<li>Чтоб на работу вовремя прийти необходимо выйти без пяти.</li>
<li>Те, кто игуане, опоссуму, гризли, — придумывал имя — читал мои мысли.</li>
<li>Престижная в бомонде игуана презрительно относится к варанам.</li>
<li>Я люблю смотреть на ящериц, как они по скалам тащатся.</li>
<li>Геккона может выследить варан, по трем хвостам, отброшенным к херам.</li>
<li>Который час, спросил павлин у страуса. — четвертый градус, по системе Штосса-Гаусса.</li>
<li>За блядства и разврата годы долгие я прокачал свой скилл в серпентологии.</li>
<li>Если трое суток квасить, станешь грозным, как неясыть.</li>
<li>Со сна сосна принесена под сень сеней: красна, грустна.</li>
<li>Смешные принципы морали достались панде и коале.</li>
<li>У дамы напротив накрашены ногти малиновым, сука, по самые локти.</li>
<li>Не знал Толстой, не ведал Пушкин, по ком стреляют из Царь-пушки.</li>
<li>Поверьте, люди, я случайно взял два по сто и воблу в чайной.</li>
<li>Катарсис дней моих печальных пришелся ровно на четверг, фонарь светила не случайно померк.</li>
<li>Кафка, Сартр, Камю, Бальзак... Лишь один из них — коньяк.</li>
<li>В свете правил Лопиталя, у слона 16 талий.</li>
<li>В пещерном теле торят тропы лишь женщины и ноотропы.</li>
<li>Японская мода: в Австралии киви себе стали делать с утра харакири.</li>
<li>Наощупь опоссум приятней, чем скунс. На вкус различать их ваще не возьмусь.</li>
<li>Что-то слишком гордые все вот эти хордовые.</li>
<li>Бывает, простынь простирнешь — и вошь безвинную убьешь.</li>
<li>Спатифиллум, аспарагус и герань обзываясь, разругались все к херам.</li>
<li>В отдельной папке я храню портреты жанру «ню-и-ню».</li>
<li>С Шахерезадой Насреддин сыграл в Smalltalk 1:1.</li>
<li>«Зачем я подписан на все эти твиты?» — премьер вдруг спросил у хипстующей свиты.</li>
<li>Луне твердила мама в детстве, мол, хочешь жить — умей вертеться.</li>
<li>Приехав к любовнице, выпив сто грамм — товарищ! не смей выходить в инстаграмм!</li>
<li>Все в жизни этой — тлен и суета. Не верите? — Спросите у кота.</li>
<li>Бобер бобру не подобру не поздорову рыл нору́.</li>
<li>Касательно моей неотразимости, нашел в себе я пару уязвимостей.</li>
<li>По полу разбросаны списки и скобки: ЛИСП выпал случайно на пол из коробки.</li>
<li>Ричард Столман, выпив виски, заблудился в связном списке.</li>
<li>Роутер у роутера спрашивал с намеком: не проводите ли даму в гугл ненароком?</li>
<li>— Официант! Бутылку водки! — Пей спирт, мудак, мы на подлодке.</li>
<li>Я слышал, Путин и Шойгу уехали бухать в тайгу.</li>
<li>Скажи-ка дядя, ведь недаром разит от тети перегаром?</li>
<li>Однажды О́дин на Слейпнире побил всех в рыцарском турнире.</li>
<li>Вот это новость! Все вокруг судачат: здесь с эр квадрат дают два пи на сдачу.</li>
<li>Один чувак в предгорьях Альп снял с четырех питонов скальп.</li>
<li>Утро красит нежным светом пятый номер спящей Светы.</li>
<li>Вомбату вомбат — друг, товарищ и брат.</li>
<li>Рецензия. Эпитеты жестче лая — припечатывающие с полуслова — как откровения попугая, состарившегося в Бирюлево.</li>
<li>В океане жил лосось, а на суше — лось. Почему-то что-то как-то где-то не срослось.</li>
<li>Не жалею, не зову, не плачу... Еду огород копать на дачу.</li>
<li>Вспыхнет ли электрический скат от разряда в 1 мегаватт?</li>
<li>Погиб поэт, невольник чести. Виной всему — сосиска в тексте.</li>
<li>В голове моей опилки, из ушей торчит по вилке, рядом вьется стая мух... Я — похмельный Виннипух.</li>
<li>Смазлив был кенар и речист, но на язык слегка нечист.</li>
<li>Нет в суровом мире капитала места для взъерошенной коалы.</li>
<li>О, времена, о нравы! Цикута им отрава!</li>
<li>В приличной пьесе лишь в антракте со сцены можно слышать дактиль.</li>
<li>Как Пушкин, отказался запросто я от искристого анапеста.</li>
<li>Сказал решительное «нахер» я — размерам типа амфибрахия.</li>
<li>Зимой пираты Сомали сидят во льдах и на мели.</li>
<li>Стакан граненый в руки взявши, я стал стройнее и изящней.</li>
<li>Так, разделились на подвиды! Мы — Голиафы, вы — Давиды.</li>
<li>Хрящи взамен зубов молочных растут у всех беспозвоночных.</li>
<li>К примеру, омуль, лещ и хариус не знают, что такое кариес.</li>
<li>Один обормот из Прованса твердил всем, что он Санчо Пансо. Другой обормот по кличке Кихот отвадил его от Прованса.</li>
<li>Вообще-то суши — те же беляши, без жара, мяса, теста и души.</li>
<li>Я спросил у ясеня: хочешь стать балясиной?</li>
<li>Андревна, нам ли быть в печали, шестидесятники кричали.</li>
<li>Кенгуру, песец, павлин и камбала составляли населенье Шамбалы.</li>
<li>Среди пустыни жарким летом живет пингвин анахоретом.</li>
<li>На поребрик из парадной прыгнул с пышкою в руке розовый бадлон нарядный в ярко-алом котелке.</li>
<li>В этой жизни мало позитива вплоть до первого аперитива.</li>
<li>Приснилось: ядерную кнопку доверят Виктору Онопко.</li>
<li>Страус быстр, пуглив и глуп. Си придумал Страуструп.</li>
<li>В поезде Москва-Берлин в тамбуре живет павлин.</li>
<li>Два мудреца в одном тазу три дня бесчестили козу.</li>
<li>Из построенных в саванне баррикад вдаль внимательно глазеет суррикат.</li>
<li>«Как Моцарт мог», — спросил енот, — «создать шедевр из этих нот?!»</li>
<li>Течет река Волга... Течет, сука, долго.</li>
<li>Кукушка трепетна, тиха; рыдает по ночам в подушку. Она ретвитит петуха, а он ретвитит трех индюшек.</li>
<li>Обидевшись на всех, ондатр ходил читать Гюго в клуатр.</li>
<li>Молодые поросятки все должны плясать вприсядку. Продолжать почин отца — массу гнать для холодца.</li>
<li>Надрался в хлам один кайман и к кенгуру залез в карман.</li>
<li>Крут мой ручной паук Лукреций: мух жрет без кетчупа и специй.</li>
<li>В саванне тихо. Стоны львиц. Ветра́. Лев объявил прайд-тайм до трех утра.</li>
<li>За то мы любим инфузорий, что нас они не опозорят.</li>
<li>Рембо, Верлен, Рабле, Мольер! Расчет окончен. Брысь в вольер!</li>
<li>Фламинго цветом на рассвете напоминает о паштете.</li>
<li>Верблюд в пустыне был бы рад отсаксаулить всех подряд.</li>
<li>О, времена! О, нравы! Кто коня впихнул в полупальто?</li>
<li>Хочу раскрасить ярко-алым я ногти всем самцам-коалам.</li>
<li>В голове ручной амёбы мыслей нет, одни заёбы.</li>
<li>Ночью брачной, рыгая, он молвил несмело: «Я ваще, дорогая, не по этому делу».</li>
<li>Надо проще быть с людьми, и они потянутся. Бить, к примеру, их плетьми каждый день по яйцам.</li>
<li>Не сложилось у нас с Галей. Не судьба. А хули? — Она любит Цинандали, Я — Напареули.</li>
<li>Одной звезды я повторяю имя. Пусть астрономы парятся с другими.</li>
<li>Зачем, скажи, мон шер ами, ты утром хлопаешь дверьми?!</li>
<li>Лис своей жене-кокетке шубу справил из соседки.</li>
<li>Мы с ручным лещом вдвоем замечательно живем: он не прётся в мою спальню, я не лезу в водоём.</li>
<li>Что у буйвола за поступь! Он велик? — Нет, пьяный просто.</li>
<li>Гипоним гипероним полюбил. Инцест? — Да нет, он попросту дебил.</li>
<li>Презирает бегемот гиппопотама за его пристрастие к панамам.</li>
<li>В изножье Триумфальной арки Лаура жгла стихи Петрарки.</li>
<li>Аты-баты, аты-баты, шли колонною вомбаты. Несли вомбаты на плечах вомбата, что совсем зачах.</li>
<li>У вомбата две ноги, а кругом — одни враги.</li>
<li>Вивисектор прицепил на кактус ухо. Наклонился и спросил: «Ну, как ты, ссука?».</li></ul>
</lj-cut>
<p><i>Бонус-трек.</i> Я собирался всем такие эпиграммки написать, но что-то как-то заело в результате.</p>
<ul><li>— Шел по Рамбле налегке, вдруг гляжу: Жерар Пике. Подошел, спросил: «Ты как?», — он ответил: «Сам мудак!».</li>
<li>— Тут гулял в Барселонете, Неймар прет в кабриолете. Я спросил: «Ну, как дела?», он ответил: «Не дала».</li>
<li>— Я вчера в Педральбесе встретил Дани Алвеса. Я спросил: «Ну, как оно?», он ответил: «Я в говно».</li>
<li>— Шел вчера по Сан Жерваси — Березуцкий мимо, Вася. Я спросил: «А Лёха где?», — он ответил: «В Катманде».</li></ul>"
